samp1,samp2,es,sd1,sd2,mean(Method1),mean(Method2),"pVal(Method1, Method2)",typeI,sig
15,60,0,1.5,1,0.115,0.054,9.08E-12,TRUE,TRUE
105,60,0,1.5,1,0.021,0.039,0.013778439,TRUE,TRUE
60,60,0.2,1.5,1,0.804,0.804,1,FALSE,FALSE
45,60,0.2,1.5,1,0.795,0.82,0.000355411,FALSE,TRUE
75,60,0.2,1.5,1,0.808,0.778,2.67E-05,FALSE,TRUE
30,60,0.2,1.5,1,0.783,0.859,1.74E-15,FALSE,TRUE
90,60,0.2,1.5,1,0.789,0.751,4.36E-07,FALSE,TRUE
15,60,0.2,1.5,1,0.817,0.926,2.63E-22,FALSE,TRUE
105,60,0.2,1.5,1,0.82,0.76,5.82E-12,FALSE,TRUE
60,60,0.5,1.5,1,0.211,0.211,1,FALSE,FALSE
45,60,0.5,1.5,1,0.279,0.322,3.37E-08,FALSE,TRUE
75,60,0.5,1.5,1,0.198,0.172,0.000211524,FALSE,TRUE
30,60,0.5,1.5,1,0.346,0.433,6.64E-18,FALSE,TRUE
90,60,0.5,1.5,1,0.144,0.113,1.59E-05,FALSE,TRUE
15,60,0.5,1.5,1,0.482,0.682,1.27E-42,FALSE,TRUE
105,60,0.5,1.5,1,0.15,0.094,4.45E-11,FALSE,TRUE
60,60,0.8,1.5,1,0.014,0.014,1,FALSE,FALSE
45,60,0.8,1.5,1,0.009,0.018,1,FALSE,FALSE
75,60,0.8,1.5,1,0.006,0.002,1,FALSE,FALSE
30,60,0.8,1.5,1,0.053,0.082,4.48E-05,FALSE,TRUE
90,60,0.8,1.5,1,0.006,0.003,1,FALSE,FALSE
15,60,0.8,1.5,1,0.175,0.347,4.42E-36,FALSE,TRUE
105,60,0.8,1.5,1,0,0,1,FALSE,FALSE
60,60,0,0.25,1,0.052,0.052,1,TRUE,FALSE
45,60,0,0.25,1,0.03,0.041,0.575418262,TRUE,FALSE
75,60,0,0.25,1,0.078,0.054,0.000597622,TRUE,TRUE
30,60,0,0.25,1,0.011,0.054,3.37E-08,TRUE,TRUE
90,60,0,0.25,1,0.101,0.048,2.05E-10,TRUE,TRUE
15,60,0,0.25,1,0,0.054,1.23E-10,TRUE,TRUE
105,60,0,0.25,1,0.124,0.051,7.95E-15,TRUE,TRUE
60,60,0.2,0.25,1,0.809,0.81,1,FALSE,FALSE
45,60,0.2,0.25,1,0.861,0.81,5.68E-10,FALSE,TRUE
75,60,0.2,0.25,1,0.727,0.781,1.23E-10,FALSE,TRUE
30,60,0.2,0.25,1,0.946,0.821,3.11E-26,FALSE,TRUE
90,60,0.2,0.25,1,0.707,0.805,2.56E-20,FALSE,TRUE
15,60,0.2,0.25,1,0.99,0.829,4.18E-34,FALSE,TRUE
105,60,0.2,0.25,1,0.667,0.822,8.55E-33,FALSE,TRUE
60,60,0.5,0.25,1,0.223,0.225,1,FALSE,FALSE
45,60,0.5,0.25,1,0.304,0.22,3.03E-17,FALSE,TRUE
75,60,0.5,0.25,1,0.175,0.228,2.05E-10,FALSE,TRUE
30,60,0.5,0.25,1,0.507,0.265,8.79E-52,FALSE,TRUE
90,60,0.5,0.25,1,0.136,0.218,8.34E-17,FALSE,TRUE
