samp1,samp2,es,sd1,sd2,mean(Method1),mean(Method2),"pVal(Method1, Method2)",typeI,sig
1000,1500,0.2,1.5,1,0.002,0.0034,0.114689013,FALSE,FALSE
1000,250,0.2,1.5,1,0.2344,0.1027,1.39E-285,FALSE,TRUE
1000,1750,0.2,1.5,1,0.0013,0.0023,0.991541792,FALSE,FALSE
1000,1000,0.5,1.5,1,0,0,1,FALSE,FALSE
1000,750,0.5,1.5,1,0,0,1,FALSE,FALSE
1000,1250,0.5,1.5,1,0,0,1,FALSE,FALSE
1000,500,0.5,1.5,1,0,0,1,FALSE,FALSE
1000,1500,0.5,1.5,1,0,0,1,FALSE,FALSE
1000,250,0.5,1.5,1,0,0,1,FALSE,FALSE
1000,1750,0.5,1.5,1,0,0,1,FALSE,FALSE
1000,1000,0.8,1.5,1,0,0,1,FALSE,FALSE
1000,750,0.8,1.5,1,0,0,1,FALSE,FALSE
1000,1250,0.8,1.5,1,0,0,1,FALSE,FALSE
1000,500,0.8,1.5,1,0,0,1,FALSE,FALSE
1000,1500,0.8,1.5,1,0,0,1,FALSE,FALSE
1000,250,0.8,1.5,1,0,0,1,FALSE,FALSE
1000,1750,0.8,1.5,1,0,0,1,FALSE,FALSE
1000,1000,0,0.25,1,0.0496,0.0496,1,TRUE,FALSE
1000,750,0,0.25,1,0.088,0.0523,7.73E-77,TRUE,TRUE
1000,1250,0,0.25,1,0.0308,0.0498,1.94E-40,TRUE,TRUE
1000,500,0,0.25,1,0.1402,0.0467,1.47E-202,TRUE,TRUE
1000,1500,0,0.25,1,0.0195,0.0508,2.96E-67,TRUE,TRUE
1000,250,0,0.25,1,0.2818,0.0528,0,TRUE,TRUE
1000,1750,0,0.25,1,0.0117,0.0509,1.85E-84,TRUE,TRUE
1000,1000,0.2,0.25,1,0.0058,0.0058,1,FALSE,FALSE
1000,750,0.2,0.25,1,0.015,0.0266,2.91E-24,FALSE,TRUE
1000,1250,0.2,0.25,1,0.0032,0.001,0.001693957,FALSE,TRUE
1000,500,0.2,0.25,1,0.0396,0.1054,2.48E-142,FALSE,TRUE
1000,1500,0.2,0.25,1,8.00E-04,2.00E-04,1,FALSE,FALSE
1000,250,0.2,0.25,1,0.1161,0.3739,0,FALSE,TRUE
1000,1750,0.2,0.25,1,7.00E-04,3.00E-04,1,FALSE,FALSE
1000,1000,0.5,0.25,1,0,0,1,FALSE,FALSE
1000,750,0.5,0.25,1,0,0,1,FALSE,FALSE
1000,1250,0.5,0.25,1,0,0,1,FALSE,FALSE
1000,500,0.5,0.25,1,0,0,1,FALSE,FALSE
1000,1500,0.5,0.25,1,0,0,1,FALSE,FALSE
1000,250,0.5,0.25,1,0,1.00E-04,1,FALSE,FALSE
1000,1750,0.5,0.25,1,0,0,1,FALSE,FALSE
1000,1000,0.8,0.25,1,0,0,1,FALSE,FALSE
1000,750,0.8,0.25,1,0,0,1,FALSE,FALSE
1000,1250,0.8,0.25,1,0,0,1,FALSE,FALSE
1000,500,0.8,0.25,1,0,0,1,FALSE,FALSE
1000,1500,0.8,0.25,1,0,0,1,FALSE,FALSE
1000,250,0.8,0.25,1,0,0,1,FALSE,FALSE
1000,1750,0.8,0.25,1,0,0,1,FALSE,FALSE
1000,1000,0,1.75,1,0.0512,0.0512,1,TRUE,FALSE
1000,750,0,1.75,1,0.0345,0.0481,1.22E-28,TRUE,TRUE
1000,1250,0,1.75,1,0.0608,0.0479,4.15E-27,TRUE,TRUE
1000,500,0,1.75,1,0.0201,0.0517,6.57E-68,TRUE,TRUE
1000,1500,0,1.75,1,0.072,0.0444,3.41E-59,TRUE,TRUE
1000,250,0,1.75,1,0.0064,0.0504,6.60E-95,TRUE,TRUE
1000,1750,0,1.75,1,0.0904,0.0497,1.01E-87,TRUE,TRUE
1000,1000,0.2,1.75,1,0.0063,0.0063,1,FALSE,FALSE
1000,750,0.2,1.75,1,0.0147,0.0102,1.21E-08,FALSE,TRUE
1000,1250,0.2,1.75,1,0.0035,0.0051,0.039610944,FALSE,TRUE
1000,500,0.2,1.75,1,0.0434,0.0178,7.80E-55,FALSE,TRUE
1000,1500,0.2,1.75,1,0.0025,0.0039,0.114689013,FALSE,FALSE
1000,250,0.2,1.75,1,0.2488,0.076,0,FALSE,TRUE
1000,1750,0.2,1.75,1,0.0011,0.0036,0.000355411,FALSE,TRUE
1000,1000,0.5,1.75,1,0,0,1,FALSE,FALSE
1000,750,0.5,1.75,1,0,0,1,FALSE,FALSE
1000,1250,0.5,1.75,1,0,0,1,FALSE,FALSE
1000,500,0.5,1.75,1,0,0,1,FALSE,FALSE
1000,1500,0.5,1.75,1,0,0,1,FALSE,FALSE
1000,250,0.5,1.75,1,0,0,1,FALSE,FALSE
1000,1750,0.5,1.75,1,0,0,1,FALSE,FALSE
1000,1000,0.8,1.75,1,0,0,1,FALSE,FALSE
1000,750,0.8,1.75,1,0,0,1,FALSE,FALSE
1000,1250,0.8,1.75,1,0,0,1,FALSE,FALSE
1000,500,0.8,1.75,1,0,0,1,FALSE,FALSE
1000,1500,0.8,1.75,1,0,0,1,FALSE,FALSE
1000,250,0.8,1.75,1,0,0,1,FALSE,FALSE
1000,1750,0.8,1.75,1,0,0,1,FALSE,FALSE
1000,1000,0,3,1,0.0542,0.0541,1,TRUE,FALSE
1000,750,0,3,1,0.0262,0.0507,1.95E-52,TRUE,TRUE
1000,1250,0,3,1,0.0712,0.0489,1.22E-47,TRUE,TRUE
1000,500,0,3,1,0.0102,0.0511,3.69E-88,TRUE,TRUE
1000,1500,0,3,1,0.0945,0.0512,2.20E-93,TRUE,TRUE
1000,250,0,3,1,3.00E-04,0.0512,6.38E-110,TRUE,TRUE
1000,1750,0,3,1,0.1125,0.0472,3.03E-141,TRUE,TRUE
1000,1000,0.2,3,1,0.0077,0.0077,1,FALSE,FALSE
1000,750,0.2,3,1,0.0136,0.0066,3.64E-14,FALSE,TRUE
1000,1250,0.2,3,1,0.0039,0.006,0.002855927,FALSE,TRUE
1000,500,0.2,3,1,0.0466,0.0121,3.17E-74,FALSE,TRUE
1000,1500,0.2,3,1,0.0022,0.0058,1.22E-06,FALSE,TRUE
1000,250,0.2,3,1,0.2712,0.0228,0,FALSE,TRUE
1000,1750,0.2,3,1,8.00E-04,0.0038,2.67E-05,FALSE,TRUE
1000,1000,0.5,3,1,0,0,1,FALSE,FALSE
1000,750,0.5,3,1,0,0,1,FALSE,FALSE
1000,1250,0.5,3,1,0,0,1,FALSE,FALSE
1000,500,0.5,3,1,0,0,1,FALSE,FALSE
1000,1500,0.5,3,1,0,0,1,FALSE,FALSE
1000,250,0.5,3,1,0,0,1,FALSE,FALSE
1000,1750,0.5,3,1,0,0,1,FALSE,FALSE
1000,1000,0.8,3,1,0,0,1,FALSE,FALSE
1000,750,0.8,3,1,0,0,1,FALSE,FALSE
1000,1250,0.8,3,1,0,0,1,FALSE,FALSE
1000,500,0.8,3,1,0,0,1,FALSE,FALSE
1000,1500,0.8,3,1,0,0,1,FALSE,FALSE
1000,250,0.8,3,1,0,0,1,FALSE,FALSE
1000,1750,0.8,3,1,0,0,1,FALSE,FALSE
